indexRaw,indexSmooth,indexPercent,middleRaw,middleSmooth,middlePercent,label
1705,1756,0,1871,1908,0,REST
1743,1747,2,1885,1898,1,REST
1748,1740,5,1832,1889,8,REST
1747,1735,6,1931,1887,9,REST
1767,1733,7,1852,1871,22,REST
1800,1731,8,1870,1870,23,REST
1798,1743,4,1885,1866,26,REST
1713,1745,3,1952,1875,19,REST
1814,1754,0,1977,1890,7,REST
1792,1762,0,2049,1910,0,REST
1816,1773,0,1971,1920,0,REST
1795,1779,0,1975,1929,0,REST
1860,1790,0,1983,1944,0,REST
1788,1794,0,1964,1947,0,REST
1775,1795,0,1952,1957,0,REST
1776,1792,0,1911,1961,0,REST
1746,1787,0,1868,1960,0,REST
1711,1787,0,1853,1950,0,REST
1747,1780,0,1781,1930,0,REST
1704,1771,0,1890,1914,0,REST
1671,1757,0,1840,1901,0,REST
1719,1749,2,1946,1898,1,REST
1775,1741,4,1874,1887,9,REST
1778,1740,5,1837,1875,19,REST
1734,1736,6,1966,1876,18,REST
1728,1731,8,1844,1869,23,REST
1786,1735,6,1950,1878,16,REST
1754,1739,5,1904,1883,13,REST
1800,1744,3,1980,1903,0,REST
1847,1759,0,1988,1912,0,REST
1490,1512,81,1868,1890,7,INDEX_BENT
1512,1512,81,1796,1879,16,INDEX_BENT
1451,1503,84,1838,1869,23,INDEX_BENT
1432,1494,87,1836,1865,27,INDEX_BENT
1482,1490,89,1802,1858,32,INDEX_BENT
1481,1485,90,1891,1858,32,INDEX_BENT
1450,1480,92,1886,1860,30,INDEX_BENT
1468,1475,94,1876,1858,32,INDEX_BENT
1547,1480,92,1803,1847,41,INDEX_BENT
1482,1479,92,1872,1846,41,INDEX_BENT
1517,1482,91,1911,1851,38,INDEX_BENT
1531,1484,91,1919,1863,28,INDEX_BENT
1570,1496,87,1919,1871,22,INDEX_BENT
1621,1514,81,2027,1890,7,INDEX_BENT
1682,1534,74,1895,1899,0,INDEX_BENT
1579,1544,70,2099,1920,0,INDEX_BENT
1697,1569,62,1901,1922,0,INDEX_BENT
1609,1583,57,1855,1920,0,INDEX_BENT
1521,1580,58,1955,1935,0,INDEX_BENT
1520,1584,57,1896,1937,0,INDEX_BENT
1564,1589,55,1901,1936,0,INDEX_BENT
1423,1578,59,1852,1930,0,INDEX_BENT
1486,1570,62,1879,1926,0,INDEX_BENT
1521,1560,65,1892,1912,0,INDEX_BENT
1530,1545,70,1860,1909,0,INDEX_BENT
1476,1534,74,1823,1881,14,INDEX_BENT
1473,1512,81,1843,1875,19,INDEX_BENT
1433,1494,87,1966,1886,10,INDEX_BENT
1525,1495,87,1867,1877,17,INDEX_BENT
1617,1504,84,1872,1875,19,INDEX_BENT
1484,1496,87,1958,1881,14,INDEX_BENT
1527,1507,83,1920,1888,9,INDEX_BENT
1579,1516,80,1922,1892,5,INDEX_BENT
1616,1526,77,2014,1904,0,INDEX_BENT
1649,1537,73,2039,1922,0,INDEX_BENT
1645,1554,67,2017,1941,0,INDEX_BENT
1649,1572,61,1946,1952,0,INDEX_BENT
1649,1594,54,1956,1951,0,INDEX_BENT
1576,1599,52,1977,1962,0,INDEX_BENT
1627,1600,52,1919,1966,0,INDEX_BENT
1566,1608,49,1851,1956,0,INDEX_BENT
1473,1602,51,1895,1953,0,INDEX_BENT
1499,1594,54,1887,1950,0,INDEX_BENT
1524,1585,57,1894,1938,0,INDEX_BENT
1498,1570,62,1845,1918,0,INDEX_BENT
1527,1558,66,1964,1913,0,INDEX_BENT
1470,1540,72,1867,1905,0,INDEX_BENT
1499,1525,77,1923,1902,0,INDEX_BENT
1583,1526,77,1809,1885,11,INDEX_BENT
1575,1521,78,1879,1881,14,INDEX_BENT
1581,1522,78,1961,1892,5,INDEX_BENT
1603,1535,73,1923,1895,3,INDEX_BENT
1567,1542,71,1943,1900,0,INDEX_BENT
1689,1559,65,1929,1904,0,INDEX_BENT
1648,1574,60,1948,1914,0,INDEX_BENT
1649,1586,56,1946,1912,0,INDEX_BENT
1745,1613,47,1943,1920,0,INDEX_BENT
1585,1622,44,1930,1921,0,INDEX_BENT
1583,1622,44,1980,1938,0,INDEX_BENT
1549,1619,45,1953,1945,0,INDEX_BENT
1474,1609,49,1897,1939,0,INDEX_BENT
1476,1596,53,1880,1934,0,INDEX_BENT
1487,1588,56,1859,1926,0,INDEX_BENT
1475,1567,63,1886,1922,0,INDEX_BENT
1473,1549,69,1841,1911,0,INDEX_BENT
1528,1537,73,1863,1903,0,INDEX_BENT
1528,1515,80,1928,1901,0,INDEX_BENT
1583,1515,80,1889,1897,2,INDEX_BENT
1455,1502,85,1927,1892,5,INDEX_BENT
1529,1500,85,1945,1891,6,INDEX_BENT
1575,1510,82,1939,1895,3,INDEX_BENT
1547,1518,79,1905,1898,1,INDEX_BENT
1548,1524,77,1953,1907,0,INDEX_BENT
1635,1540,72,1962,1915,0,INDEX_BENT
1584,1551,68,2070,1938,0,INDEX_BENT
1625,1560,65,2008,1952,0,INDEX_BENT
1681,1576,60,1953,1955,0,INDEX_BENT
1518,1569,62,1981,1964,0,INDEX_BENT
1573,1581,58,1916,1963,0,INDEX_BENT
1621,1590,55,1849,1953,0,INDEX_BENT
1507,1583,57,1898,1949,0,INDEX_BENT
1465,1575,60,1868,1945,0,INDEX_BENT
1480,1568,62,1857,1936,0,INDEX_BENT
1500,1555,67,1854,1925,0,INDEX_BENT
1527,1549,69,1859,1904,0,INDEX_BENT
1455,1532,74,1873,1890,7,INDEX_BENT
1535,1518,79,1908,1886,10,INDEX_BENT
1532,1519,79,1801,1868,24,INDEX_BENT
1476,1509,82,1903,1867,25,INDEX_BENT
1548,1502,85,1938,1875,19,INDEX_BENT
1553,1507,83,1907,1876,18,INDEX_BENT
1515,1512,81,1923,1882,13,INDEX_BENT
1560,1520,79,1917,1888,9,INDEX_BENT
1616,1531,75,1962,1899,0,INDEX_BENT
1633,1542,71,2008,1914,0,INDEX_BENT
1659,1562,64,2007,1927,0,INDEX_BENT
1585,1567,63,1960,1932,0,INDEX_BENT
1617,1576,60,1937,1946,0,INDEX_BENT
1623,1590,55,1876,1943,0,INDEX_BENT
1496,1585,57,1907,1940,0,INDEX_BENT
1688,1697,19,1740,1722,100,MIDDLE_BENT
1792,1706,16,1708,1725,100,MIDDLE_BENT
1688,1704,17,1752,1723,100,MIDDLE_BENT
1688,1704,17,1684,1721,100,MIDDLE_BENT
1669,1701,18,1788,1728,100,MIDDLE_BENT
1625,1694,20,1791,1738,100,MIDDLE_BENT
1729,1695,20,1701,1737,100,MIDDLE_BENT
1722,1702,17,1788,1737,100,MIDDLE_BENT
1753,1709,15,1780,1742,100,MIDDLE_BENT
1683,1703,17,1885,1761,100,MIDDLE_BENT
1791,1714,13,1903,1778,95,MIDDLE_BENT
1778,1712,14,1926,1799,78,MIDDLE_BENT
1768,1720,11,1871,1811,69,MIDDLE_BENT
1678,1719,12,1893,1832,52,MIDDLE_BENT
1663,1719,12,1812,1835,50,MIDDLE_BENT
1711,1727,9,1751,1831,53,MIDDLE_BENT
1653,1720,11,1675,1828,55,MIDDLE_BENT
1674,1715,13,1763,1825,58,MIDDLE_BENT
1636,1703,17,1798,1827,56,MIDDLE_BENT
1749,1710,15,1729,1812,68,MIDDLE_BENT
1639,1694,20,1786,1800,77,MIDDLE_BENT
1644,1681,24,1804,1788,87,MIDDLE_BENT
1780,1682,24,1740,1775,97,MIDDLE_BENT
1732,1688,22,1756,1761,100,MIDDLE_BENT
1736,1695,20,1891,1769,100,MIDDLE_BENT
1752,1699,18,1799,1774,98,MIDDLE_BENT
1836,1717,12,1865,1793,83,MIDDLE_BENT
1795,1729,8,1902,1807,72,MIDDLE_BENT
1769,1743,4,1920,1819,63,MIDDLE_BENT
1788,1747,2,1935,1839,47,MIDDLE_BENT
1798,1763,0,2005,1861,30,MIDDLE_BENT
1762,1774,0,1899,1871,22,MIDDLE_BENT
1715,1768,0,1926,1889,8,MIDDLE_BENT
1788,1773,0,1747,1888,9,MIDDLE_BENT
1737,1774,0,1772,1877,17,MIDDLE_BENT
1681,1766,0,1693,1866,26,MIDDLE_BENT
1702,1753,0,1835,1863,28,MIDDLE_BENT
1672,1741,4,1758,1849,39,MIDDLE_BENT
1643,1728,9,1880,1845,42,MIDDLE_BENT
1794,1729,8,1703,1821,61,MIDDLE_BENT
1708,1720,11,1783,1799,78,MIDDLE_BENT
1728,1716,13,1793,1789,86,MIDDLE_BENT
1726,1717,12,1797,1776,96,MIDDLE_BENT
1680,1707,16,1869,1788,87,MIDDLE_BENT
1782,1711,14,1834,1794,82,MIDDLE_BENT
1743,1717,12,1781,1803,75,MIDDLE_BENT
1872,1734,7,1864,1806,73,MIDDLE_BENT
1749,1742,4,1935,1823,59,MIDDLE_BENT
1768,1755,0,1950,1830,54,MIDDLE_BENT
1721,1747,2,1889,1849,39,MIDDLE_BENT
1767,1753,0,1952,1866,26,MIDDLE_BENT
1746,1755,0,1841,1871,22,MIDDLE_BENT
1666,1749,2,1895,1881,14,MIDDLE_BENT
1722,1753,0,1776,1871,22,MIDDLE_BENT
1676,1743,4,1788,1867,25,MIDDLE_BENT
1697,1738,5,1722,1861,30,MIDDLE_BENT
1665,1717,12,1721,1846,41,MIDDLE_BENT
1696,1712,14,1744,1827,56,MIDDLE_BENT
1756,1711,14,1777,1810,70,MIDDLE_BENT
1719,1711,14,1777,1799,78,MIDDLE_BENT
1733,1707,16,1682,1772,99,MIDDLE_BENT
1728,1705,16,1693,1757,100,MIDDLE_BENT
1753,1714,13,1736,1741,100,MIDDLE_BENT
1664,1708,15,1877,1751,100,MIDDLE_BENT
1741,1715,13,1802,1753,100,MIDDLE_BENT
1745,1720,11,1822,1763,100,MIDDLE_BENT
1605,1714,13,1888,1779,94,MIDDLE_BENT
1758,1720,11,1886,1794,82,MIDDLE_BENT
1772,1721,11,1934,1809,70,MIDDLE_BENT
1814,1731,8,1982,1830,54,MIDDLE_BENT
1779,1735,6,1819,1843,44,MIDDLE_BENT
1738,1736,6,1901,1864,27,MIDDLE_BENT
1774,1739,5,1787,1869,23,MIDDLE_BENT
1765,1749,2,1794,1861,30,MIDDLE_BENT
1704,1745,3,1749,1856,34,MIDDLE_BENT
1703,1741,4,1716,1845,42,MIDDLE_BENT
1718,1752,1,1749,1831,53,MIDDLE_BENT
1720,1748,2,1711,1814,66,MIDDLE_BENT
1695,1741,4,1724,1793,83,MIDDLE_BENT
1726,1732,7,1736,1768,100,MIDDLE_BENT
1698,1724,10,1803,1767,100,MIDDLE_BENT
1683,1718,12,1855,1762,100,MIDDLE_BENT
1760,1717,12,1816,1765,100,MIDDLE_BENT
1782,1718,12,1736,1759,100,MIDDLE_BENT
1741,1722,11,1859,1770,100,MIDDLE_BENT
1726,1724,10,1863,1785,89,MIDDLE_BENT
1812,1734,7,1837,1794,82,MIDDLE_BENT
1789,1741,4,1904,1813,67,MIDDLE_BENT
1811,1752,1,1911,1832,52,MIDDLE_BENT
1796,1759,0,1921,1850,38,MIDDLE_BENT
1763,1766,0,1856,1855,34,MIDDLE_BENT
1797,1777,0,1821,1852,37,MIDDLE_BENT
1713,1773,0,1896,1860,30,MIDDLE_BENT
1723,1767,0,1785,1865,27,MIDDLE_BENT
1729,1765,0,1724,1851,38,MIDDLE_BENT
1695,1762,0,1757,1841,45,MIDDLE_BENT
1736,1755,0,1763,1833,52,MIDDLE_BENT
1709,1747,2,1792,1822,60,MIDDLE_BENT
1767,1742,4,1729,1804,74,MIDDLE_BENT
1736,1736,6,1782,1790,85,MIDDLE_BENT
